#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037352.1	15185902	15245624	19.74	19.82	760	1	0
NC_037352.1	15245624	15298734	19.82	19.89	530	1	1
NC_037352.1	15298734	15348848	19.89	19.95	365	0	1
NC_037352.1	15348848	16268799	19.95	21.15	12640	1	1
NC_037352.1	16268799	16278143	21.15	21.16	120	1	0
NC_037352.1	16278143	16636216	21.16	21.63	3565	1	1
NC_037352.1	16636216	16649353	21.63	21.64	240	1	0
NC_037352.1	16649353	16892603	21.64	21.96	3460	1	1
NC_037352.1	16892603	16908845	21.96	21.98	195	1	0
NC_037352.1	16908845	17033406	21.98	22.14	1585	1	1
NC_037352.1	17033406	17042329	22.14	22.16	85	0	1
NC_037352.1	17042329	17237234	22.16	22.41	2635	1	1
NC_037352.1	17237234	17276834	22.41	22.46	545	0	1
NC_037352.1	17276834	18029227	22.46	23.44	8855	1	1
NC_037352.1	18029227	18033847	23.44	23.44	95	0	1
NC_037352.1	18033847	18733597	23.44	24.35	6175	1	1
NC_037352.1	18733597	18778781	24.35	24.41	420	1	0
NC_037352.1	18778781	18868273	24.41	24.53	855	1	1
NC_037352.1	18868273	18878765	24.53	24.54	165	0	1
NC_037352.1	18878765	18915645	24.54	24.59	660	1	1
NC_037352.1	18915645	18937505	24.59	24.62	205	0	1
NC_037352.1	18937505	18988212	24.62	24.68	735	1	1
NC_037352.1	18988212	19009765	24.68	24.71	195	1	0
NC_037352.1	19009765	19586115	24.71	25.46	4730	1	1
NC_037352.1	19586115	19633814	25.46	25.52	430	1	0
NC_037352.1	19633814	20564744	25.52	26.73	11305	1	1
NC_037352.1	20564744	20572193	26.73	26.74	115	0	1
NC_037352.1	20572193	20993324	26.74	27.29	5235	1	1
NC_037352.1	20993324	21004114	27.29	27.31	95	1	0
NC_037352.1	21004114	21188594	27.31	27.55	2530	1	1
NC_037352.1	21188594	21206343	27.55	27.57	235	1	0
NC_037352.1	21206343	21319769	27.57	27.72	1120	1	1
NC_037352.1	21319769	21346822	27.72	27.75	440	0	1
NC_037352.1	21346822	21690891	27.75	28.20	4125	1	1
NC_037352.1	21690891	21727059	28.20	28.25	570	0	1
NC_037352.1	21727059	22173975	28.25	28.83	5165	1	1
NC_037352.1	22173975	22194440	28.83	28.85	165	0	1
NC_037352.1	22194440	22493768	28.85	29.24	2875	1	1
NC_037352.1	22493768	22502693	29.24	29.25	115	1	0
NC_037352.1	22502693	22510710	29.25	29.26	110	1	1
NC_037352.1	22510710	22523455	29.26	29.28	185	0	1
NC_037352.1	22523455	22558166	29.28	29.33	475	1	1
NC_037352.1	22558166	22572380	29.33	29.34	150	0	1
NC_037352.1	22572380	22944991	29.34	29.83	4410	1	1
NC_037352.1	22944991	22956083	29.83	29.84	155	0	1
NC_037352.1	22956083	23261612	29.84	30.24	3645	1	1
NC_037352.1	23261612	23276051	30.24	30.26	160	0	1
NC_037352.1	23276051	24079248	30.26	31.30	10730	1	1
NC_037352.1	24079248	24095259	31.30	31.32	200	1	0
NC_037352.1	24095259	24124095	31.32	31.36	305	1	1
NC_037352.1	24124095	24137524	31.36	31.38	165	0	1
NC_037352.1	24137524	24149441	31.38	31.39	215	1	1
NC_037352.1	24149441	24160231	31.39	31.41	140	0	1
NC_037352.1	24160231	24563248	31.41	31.93	5805	1	1
NC_037352.1	24563248	24573632	31.93	31.95	175	0	1
NC_037352.1	24573632	24603274	31.95	31.98	445	1	1
NC_037352.1	24603274	24609812	31.98	31.99	90	0	1
NC_037352.1	24609812	24675030	31.99	32.08	1030	1	1
NC_037352.1	24675030	24686249	32.08	32.09	125	0	1
NC_037352.1	24686249	24760347	32.09	32.19	1275	1	1
NC_037352.1	24760347	24773623	32.19	32.21	170	0	1
NC_037352.1	24773623	25239352	32.21	32.81	6305	1	1
NC_037352.1	25239352	25268769	32.81	32.85	285	0	1
NC_037352.1	25268769	26108412	32.85	33.94	10465	1	1
NC_037352.1	26108412	26117446	33.94	33.95	185	1	0
NC_037352.1	26117446	27025118	33.95	35.13	8195	1	1
NC_037352.1	27025118	27049308	35.13	35.16	290	0	1
NC_037352.1	27049308	27322393	35.16	35.52	2620	1	1
NC_037352.1	27322393	27373643	35.52	35.59	355	0	1
NC_037352.1	27373643	27737950	35.59	36.06	4195	1	1
NC_037352.1	27737950	27757556	36.06	36.08	315	1	0
NC_037352.1	27757556	27829804	36.08	36.18	1030	1	1
NC_037352.1	27829804	27861590	36.18	36.22	250	1	0
NC_037352.1	27861590	28030267	36.22	36.44	2355	1	1
NC_037352.1	28030267	28044448	36.44	36.46	135	1	0
NC_037352.1	28044448	29273956	36.46	38.06	14115	1	1
NC_037352.1	29273956	29288610	38.06	38.08	220	0	1
NC_037352.1	29288610	29399738	38.08	38.22	1640	1	1
NC_037352.1	29399738	29409361	38.22	38.23	140	1	0
NC_037352.1	29409361	29642942	38.23	38.54	2755	1	1
NC_037352.1	29642942	29654204	38.54	38.55	175	0	1
NC_037352.1	29654204	29735684	38.55	38.66	1075	1	1
NC_037352.1	29735684	29743347	38.66	38.67	125	0	1
NC_037352.1	29743347	30029119	38.67	39.04	3060	1	1
NC_037352.1	30029119	30047727	39.04	39.06	175	0	1
NC_037352.1	30047727	31891325	39.06	41.46	17420	1	1
NC_037352.1	31891325	31905769	41.46	41.48	170	1	0
NC_037352.1	31905769	32300026	41.48	41.99	5210	1	1
NC_037352.1	32300026	32317772	41.99	42.01	215	1	0
NC_037352.1	32317772	33048246	42.01	42.96	10640	1	1
NC_037352.1	33048246	33061275	42.96	42.98	195	1	0
NC_037352.1	33061275	33536893	42.98	43.60	6195	1	1
NC_037352.1	33536893	33542036	43.60	43.60	100	0	1
NC_037352.1	33542036	33913876	43.60	44.09	4240	1	1
NC_037352.1	33913876	33920330	44.09	44.10	105	0	1
NC_037352.1	33920330	34653726	44.10	45.05	9440	1	1
NC_037352.1	34653726	34663368	45.05	45.06	115	0	1
NC_037352.1	34663368	35300608	45.06	45.89	8250	1	1
NC_037352.1	35300608	35319973	45.89	45.92	230	1	0
NC_037352.1	35319973	35427228	45.92	46.06	1455	1	1
NC_037352.1	35427228	35445500	46.06	46.08	225	1	0
NC_037352.1	35445500	35524019	46.08	46.18	990	1	1
NC_037352.1	35524019	35542244	46.18	46.20	110	0	1
NC_037352.1	35542244	35707134	46.20	46.42	1955	1	1
NC_037352.1	35707134	35710289	46.42	46.42	135	0	1
NC_037352.1	35710289	36533287	46.42	47.49	9490	1	1
NC_037352.1	36533287	36547641	47.49	47.51	220	1	0
NC_037352.1	36547641	36635555	47.51	47.63	1365	1	1
NC_037352.1	36635555	36642299	47.63	47.63	180	0	1
NC_037352.1	36642299	36646754	47.63	47.64	130	1	1
NC_037352.1	36646754	36651234	47.64	47.65	200	0	1
NC_037352.1	36651234	36689211	47.65	47.70	610	1	1
NC_037352.1	36689211	36700727	47.70	47.71	210	1	0
NC_037352.1	36700727	36722995	47.71	47.74	505	1	1
NC_037352.1	36722995	36734704	47.74	47.76	140	1	0
NC_037352.1	36734704	36734816	47.76	47.76	5	1	1
NC_037352.1	36734816	36747234	47.76	47.77	175	0	1
NC_037352.1	36747234	37290971	47.77	48.48	7390	1	1
NC_037352.1	37290971	37294039	48.48	48.48	105	1	0
NC_037352.1	37294039	37327090	48.48	48.53	860	1	1
NC_037352.1	37327090	37336532	48.53	48.54	230	0	1
NC_037352.1	37336532	37457495	48.54	48.69	1885	1	1
NC_037352.1	37457495	37475917	48.69	48.72	280	0	1
NC_037352.1	37475917	37994189	48.72	49.39	7820	1	1
NC_037352.1	37994189	38004397	49.39	49.41	155	1	0
NC_037352.1	38004397	38447557	49.41	49.98	5750	1	1
NC_037352.1	38447557	38456199	49.98	49.99	170	0	1
NC_037352.1	38456199	39303043	49.99	51.09	11890	1	1
NC_037352.1	39303043	39320941	51.09	51.12	290	0	1
NC_037352.1	39320941	39483922	51.12	51.33	2860	1	1
NC_037352.1	39483922	39488634	51.33	51.34	130	1	0
NC_037352.1	39488634	39663104	51.34	51.56	3870	1	1
NC_037352.1	39663104	39668142	51.56	51.57	90	1	0
NC_037352.1	39668142	42312831	51.57	55.01	37915	1	1
NC_037352.1	42312831	42325492	55.01	55.02	100	0	1
NC_037352.1	42325492	42346658	55.02	55.05	39	1	1
